Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1,2001A1
World Economic Outlook,Annual percent change,W694NGDP_R%,NIGERIA,"Gross domestic product, constant prices",29.79,18.39,7.29,9.52,5.94,0.18,10.77,-6.71,-6.72,2.63,2.87,-8.39,-0.60,-4.94,5.80,10.49,-1.81,-3.99,9.40,8.46,7.48,6.01,2.64,2.20,-0.62,2.59,6.40,3.06,1.91,1.11,3.94,4.45
World Economic Outlook,Annual percent change,W142NGDP_R%,NORWAY,"Gross domestic product, constant prices",1.97,4.43,5.64,3.85,5.09,4.04,6.91,3.60,-4.83,4.32,4.95,0.96,0.17,3.54,5.87,5.22,3.58,2.03,-0.11,0.92,1.97,3.12,3.27,2.73,5.49,3.85,4.90,4.28,2.12,0.78,3.30,2.30
World Economic Outlook,Annual percent change,W449NGDP_R%,OMAN,"Gross domestic product, constant prices",3.32,1.02,9.23,-13.99,28.24,28.59,15.97,-2.36,-6.36,4.11,6.08,17.10,11.50,15.95,13.90,14.52,2.14,-3.99,5.25,2.98,8.38,6.00,8.53,6.14,3.85,4.83,2.89,6.40,2.95,1.13,n.a.,n.a.
World Economic Outlook,Annual percent change,W564NGDP_R%,PAKISTAN,"Gross domestic product, constant prices",-2.40,0.70,0.41,6.92,5.55,4.50,4.61,3.80,6.44,6.84,7.86,6.27,6.65,5.91,5.06,7.58,5.51,6.49,7.59,4.97,4.45,5.45,7.83,1.93,3.88,5.13,5.01,1.23,3.30,3.10,4.00,4.50
World Economic Outlook,Annual percent change,W283NGDP_R%,PANAMA,"Gross domestic product, constant prices",6.96,9.62,4.58,5.36,2.45,1.74,1.66,1.09,9.79,4.51,12.58,9.21,5.35,-4.49,2.71,4.94,3.57,-1.81,-13.38,1.56,8.10,9.42,8.20,5.46,2.85,1.75,2.42,4.42,3.99,4.12,n.a.,n.a.
World Economic Outlook,Annual percent change,W853NGDP_R%,PAPUA NEW GUINEA,"Gross domestic product, constant prices",11.16,10.64,2.47,8.68,3.84,0.88,-1.63,-4.31,6.05,1.82,-2.32,1.53,0.83,3.48,-0.37,3.98,4.71,2.76,2.92,-1.42,-3.00,9.53,11.80,16.60,4.44,-2.92,3.47,-5.36,3.75,6.07,n.a.,n.a.
World Economic Outlook,Annual percent change,W288NGDP_R%,PARAGUAY,"Gross domestic product, constant prices",3.85,5.39,6.49,7.17,8.22,6.33,7.01,14.00,12.20,9.80,12.41,3.27,-0.98,-3.00,3.07,6.86,0.01,4.33,6.36,5.79,3.10,2.47,1.80,4.14,3.09,4.71,1.27,3.48,3.50,4.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W293NGDP_R%,PERU,"Gross domestic product, constant prices",5.85,4.18,2.87,5.38,9.25,3.19,1.76,0.20,0.08,5.59,4.71,5.50,0.03,-11.82,5.11,1.99,10.00,8.40,-8.80,-11.70,-3.21,2.90,-1.60,6.39,13.10,7.34,2.49,6.90,0.30,3.50,4.00,5.95
World Economic Outlook,Annual percent change,W566NGDP_R%,PHILIPPINES,"Gross domestic product, constant prices",4.58,4.92,4.76,9.23,5.00,6.41,8.01,6.15,5.63,6.90,4.98,3.42,3.62,1.87,-7.32,-7.31,3.42,4.31,6.75,6.21,3.04,-0.58,0.34,2.12,4.39,4.68,5.85,5.15,-0.54,3.23,4.50,4.50
World Economic Outlook,Annual percent change,W964NGDP_R%,POLAND,"Gross domestic product, constant prices",6.07,7.42,4.68,4.18,7.11,5.94,7.93,7.09,5.40,3.85,-6.00,-10.00,-4.85,5.60,-0.50,3.86,3.49,2.30,3.29,3.81,-7.17,-7.01,2.60,3.78,5.16,6.96,6.05,6.80,4.75,4.10,5.20,5.50
World Economic Outlook,Annual percent change,W182NGDP_R%,PORTUGAL,"Gross domestic product, constant prices",9.29,6.61,8.04,11.16,1.15,-4.35,6.89,5.60,3.39,6.15,6.72,1.26,2.08,-0.20,-1.82,3.00,4.14,5.15,5.40,5.40,4.76,2.34,1.94,-1.41,2.43,2.95,3.55,3.76,3.93,3.00,3.40,3.10
World Economic Outlook,Annual percent change,W453NGDP_R%,QATAR,"Gross domestic product, constant prices",11.75,10.01,11.08,10.78,5.94,5.88,8.35,-7.31,8.86,5.23,-1.02,-3.89,-8.21,-5.33,15.99,-13.03,3.71,0.90,4.70,5.30,-14.64,-0.79,9.70,-0.58,2.35,2.94,4.82,24.04,12.27,7.59,n.a.,n.a.
World Economic Outlook,Annual percent change,W968NGDP_R%,ROMANIA,"Gross domestic product, constant prices",3.79,5.39,2.30,1.58,5.68,5.36,14.16,4.60,8.00,6.61,3.30,2.71,2.80,4.20,6.91,1.16,2.30,0.84,-0.50,-5.83,-7.70,-12.92,-8.70,1.50,3.90,7.10,3.90,-6.10,-5.40,-3.90,1.30,4.00
World Economic Outlook,Annual percent change,W922NGDP_R%,RUSSIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-5.54,-19.44,-10.41,-11.62,-4.16,-3.39,0.86,-4.49,3.20,1.50,1.39
World Economic Outlook,Annual percent change,W714NGDP_R%,RWANDA,"Gross domestic product, constant prices",10.99,1.24,0.24,3.41,0.71,1.99,1.84,5.19,9.80,9.40,-3.58,2.47,-2.47,6.04,12.97,4.39,5.50,-0.30,0.30,-5.71,0.42,-4.30,6.60,-8.29,-49.52,32.76,15.84,12.83,9.51,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W862NGDP_R%,SAMOA,"Gross domestic product, constant prices",6.78,13.21,1.72,7.35,-10.62,-3.96,9.50,-1.01,16.88,10.81,-6.11,-9.03,-1.07,0.54,1.34,241.80,4.79,0.51,2.87,5.82,-6.44,-2.44,4.13,1.68,-0.14,6.82,6.13,1.60,1.25,2.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W716NGDP_R%,SAO TOME & PRINCIPE,"Gross domestic product, constant prices",3.79,5.38,2.30,1.58,5.68,5.38,1.64,23.43,2.89,16.35,-1.08,-10.31,3.09,-3.87,-6.03,9.30,-5.83,-2.93,2.00,3.14,-2.15,1.20,0.70,1.10,2.20,2.00,1.50,1.00,2.50,2.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W456NGDP_R%,SAUDI ARABIA,"Gross domestic product, constant prices",15.29,14.41,15.35,19.74,15.08,0.26,15.10,5.95,6.69,10.12,7.91,1.65,-10.75,-0.11,-2.22,-4.05,5.56,-1.38,7.57,0.18,10.66,8.39,2.79,-0.64,0.51,0.47,1.39,2.67,1.57,-2.35,2.24,2.04
World Economic Outlook,Annual percent change,W722NGDP_R%,SENEGAL,"Gross domestic product, constant prices",8.27,-0.12,6.43,-5.63,3.30,7.76,7.89,0.77,-6.24,9.64,-3.32,-1.81,14.34,1.36,-5.52,2.87,3.95,3.95,5.07,-1.40,3.88,-0.40,2.21,-2.22,2.87,5.16,5.14,5.05,5.66,5.07,n.a.,n.a.
World Economic Outlook,Annual percent change,W718NGDP_R%,SEYCHELLES,"Gross domestic product, constant prices",9.90,7.48,4.88,4.61,6.26,2.08,5.62,7.88,6.72,16.04,-2.25,-3.88,-2.07,-0.62,4.31,10.29,0.76,4.87,5.33,10.29,7.45,2.74,6.86,6.51,-0.80,-0.62,4.70,4.26,2.30,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W724NGDP_R%,SIERRA LEONE,"Gross domestic product, constant prices",6.44,13.76,-1.06,3.07,4.02,3.01,-3.04,1.44,1.61,4.00,-0.56,1.88,1.78,-1.58,1.70,-6.74,0.13,2.38,2.06,4.95,1.61,-7.99,-9.65,0.05,3.50,-10.03,5.00,-17.60,-0.80,-8.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W576NGDP_R%,SINGAPORE,"Gross domestic product, constant prices",13.72,12.51,13.43,11.53,6.35,4.09,8.38,7.76,8.59,9.27,9.67,9.59,6.94,8.27,8.34,-1.73,-0.17,9.72,11.63,9.62,8.97,7.11,6.57,12.75,11.38,7.98,7.54,8.39,0.40,5.35,5.91,5.98
World Economic Outlook,Annual percent change,W936NGDP_R%,SLOVAK REPUBLIC,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3.70,4.90,6.90,6.60,6.54,4.38,1.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W961NGDP_R%,SLOVENIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2.80,5.33,4.10,3.50,4.60,3.90,3.80,n.a.,n.a.
World Economic Outlook,Annual percent change,W813NGDP_R%,SOLOMON ISLANDS,"Gross domestic product, constant prices",3.90,5.43,2.18,1.55,5.72,-10.70,14.59,7.37,7.12,18.07,-2.66,-1.80,-1.67,3.89,0.17,-3.13,-0.20,8.42,1.25,4.26,1.00,3.00,9.50,2.02,5.21,7.68,0.55,-0.50,1.00,4.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W199NGDP_R%,SOUTH AFRICA,"Gross domestic product, constant prices",5.26,5.24,1.97,3.94,7.14,2.24,1.47,0.03,2.87,3.79,6.62,5.36,-0.38,-1.85,5.10,-1.21,0.02,2.10,4.20,2.39,-0.32,-1.02,-2.14,1.23,3.23,3.12,4.15,2.52,0.63,1.23,3.79,4.00
World Economic Outlook,Annual percent change,W184NGDP_R%,SPAIN,"Gross domestic product, constant prices",4.08,5.00,8.10,7.90,5.70,1.10,3.00,3.30,1.83,0.20,1.22,-0.27,1.26,2.22,1.47,2.61,3.20,5.64,5.16,4.74,3.74,2.27,0.69,-1.20,2.30,2.69,2.45,3.84,3.96,3.75,3.70,3.40
World Economic Outlook,Annual percent change,W524NGDP_R%,SRI LANKA,"Gross domestic product, constant prices",15.82,-0.06,7.83,3.52,3.95,4.69,4.44,3.82,6.20,6.08,5.44,5.80,5.10,5.05,5.10,5.00,4.36,1.50,2.70,2.30,6.20,4.60,4.30,6.90,5.60,5.50,3.80,6.45,4.70,4.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W361NGDP_R%,ST. KITTS AND NEVIS,"Gross domestic product, constant prices",5.88,6.40,4.67,3.93,5.66,2.70,5.95,6.05,2.19,7.56,1.26,5.11,6.28,-1.11,9.02,5.59,6.16,7.41,9.79,6.72,3.01,3.90,3.49,5.00,5.50,3.70,6.10,6.60,3.60,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W362NGDP_R%,ST. LUCIA,"Gross domestic product, constant prices",3.79,5.37,2.32,1.58,5.69,4.43,18.85,9.00,10.51,5.74,-0.51,4.78,2.15,4.24,6.66,9.07,14.87,1.94,12.16,9.07,4.07,2.34,7.06,2.04,2.15,4.10,1.40,2.11,2.88,3.15,n.a.,n.a.
World Economic Outlook,Annual percent change,W364NGDP_R%,ST. VINCENT & GRENS.,"Gross domestic product, constant prices",3.78,5.37,2.30,1.77,5.85,5.22,10.35,3.49,11.14,4.68,3.43,5.15,7.45,6.26,4.98,5.83,7.19,6.29,8.91,6.52,5.00,0.62,7.50,0.16,-2.43,7.60,1.62,2.07,4.00,4.20,n.a.,n.a.
World Economic Outlook,Annual percent change,W732NGDP_R%,SUDAN,"Gross domestic product, constant prices",-3.95,4.98,4.76,-7.08,12.53,6.48,15.75,2.00,-5.42,4.52,2.50,6.32,4.13,-1.51,-5.63,-0.62,9.93,6.46,4.36,1.42,0.96,7.02,3.01,3.77,1.78,8.90,4.00,6.70,5.00,6.00,6.47,5.50
World Economic Outlook,Annual percent change,W366NGDP_R%,SURINAME,"Gross domestic product, constant prices",5.88,6.40,4.67,3.93,-7.17,10.08,16.52,11.25,12.80,-1.08,-6.85,3.15,-6.17,-4.57,-2.35,-0.16,-1.72,-7.34,8.54,4.05,0.05,2.90,4.00,-9.50,-5.40,7.10,6.70,5.60,1.90,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W734NGDP_R%,SWAZILAND,"Gross domestic product, constant prices",5.88,6.40,4.67,3.93,5.66,2.70,5.95,3.94,13.19,-0.27,-6.26,2.76,1.10,1.40,6.28,3.75,13.51,13.46,6.60,8.34,9.72,2.50,1.30,3.30,3.50,3.00,3.60,3.70,2.00,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W144NGDP_R%,SWEDEN,"Gross domestic product, constant prices",6.47,0.94,2.29,3.97,3.20,-2.17,1.70,-2.82,0.09,4.22,8.44,-0.01,1.00,1.75,4.05,1.93,2.29,3.15,2.25,2.38,1.36,-1.12,-1.42,-2.22,4.12,3.69,1.08,1.98,2.95,3.78,3.91,3.20
World Economic Outlook,Annual percent change,W146NGDP_R%,SWITZERLAND,"Gross domestic product, constant prices",6.43,4.28,3.46,3.16,1.18,-6.71,-0.84,2.36,0.59,2.44,4.38,1.44,-0.93,1.00,3.03,3.43,1.66,0.71,3.10,4.30,3.80,-0.80,-0.13,-0.48,0.53,0.50,0.32,1.68,2.06,1.69,2.09,2.09
World Economic Outlook,Annual percent change,W463NGDP_R%,SYRIAN ARAB REPUBLIC,"Gross domestic product, constant prices",-5.91,10.98,21.58,-2.98,19.25,21.14,8.93,-1.40,8.33,3.63,11.98,9.51,2.12,1.43,-4.07,6.12,-4.95,1.91,13.27,-8.96,7.64,7.15,10.65,5.00,7.70,5.80,1.80,1.17,5.44,0.05,n.a.,n.a.
World Economic Outlook,Annual percent change,W528NGDP_R%,TAIWAN PROV.OF CHINA,"Gross domestic product, constant prices",11.33,12.77,13.25,12.87,1.16,4.93,13.86,10.19,13.59,8.17,7.30,6.16,3.55,8.45,10.60,4.95,11.64,12.74,7.84,8.23,5.39,7.55,6.76,6.32,6.54,6.03,5.67,6.76,4.65,5.50,6.20,6.00
World Economic Outlook,Annual percent change,W923NGDP_R%,TAJIKISTAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-7.10,-28.90,-11.10,-21.40,-12.50,-4.40,1.70,5.30,3.70,5.00,6.50
World Economic Outlook,Annual percent change,W738NGDP_R%,TANZANIA,"Gross domestic product, constant prices",5.80,4.18,6.72,3.06,2.50,5.69,6.61,0.40,2.13,2.91,3.27,1.21,0.06,-0.88,0.46,3.98,5.62,6.23,5.90,3.77,7.04,2.07,0.58,1.21,1.57,3.57,4.54,3.52,3.35,5.33,5.15,5.60
World Economic Outlook,Annual percent change,W578NGDP_R%,THAILAND,"Gross domestic product, constant prices",6.49,4.66,4.80,9.43,5.44,7.14,8.71,7.21,10.09,6.06,5.76,5.91,5.35,5.58,5.76,4.64,5.53,9.52,13.29,12.19,11.62,8.11,8.08,8.38,8.95,8.90,5.93,-1.75,-10.40,4.21,4.50,5.00
World Economic Outlook,Annual percent change,W742NGDP_R%,TOGO,"Gross domestic product, constant prices",3.60,6.05,3.78,-4.17,4.25,-0.62,-0.47,5.56,6.02,5.40,1.71,-3.42,-3.71,-5.16,5.88,3.72,3.26,-2.48,10.12,4.14,-0.20,-0.70,-3.98,-15.09,14.98,7.85,9.64,4.22,-2.25,2.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W866NGDP_R%,TONGA,"Gross domestic product, constant prices",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.71,1.93,1.77,6.57,2.12,2.99,-1.88,0.39,-2.04,6.41,0.25,3.74,4.95,4.80,-1.43,-4.39,-1.50,0.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W369NGDP_R%,TRINIDAD AND TOBAGO,"Gross domestic product, constant prices",6.56,2.20,3.50,3.00,3.70,2.50,7.77,8.03,-4.24,7.81,1.86,-1.04,3.81,-10.31,-5.75,-4.12,-3.28,-4.56,-4.01,-0.73,1.51,2.68,-1.69,-1.42,3.57,4.00,3.80,3.10,4.40,6.90,n.a.,n.a.
World Economic Outlook,Annual percent change,W744NGDP_R%,TUNISIA,"Gross domestic product, constant prices",7.43,11.04,17.81,0.37,5.64,7.00,7.93,5.60,6.45,6.60,7.40,5.52,-0.48,4.67,5.73,5.67,-1.45,6.70,0.07,2.58,7.08,3.90,7.81,2.19,3.30,2.35,7.03,5.41,5.00,6.54,6.00,6.00
World Economic Outlook,Annual percent change,W186NGDP_R%,TURKEY,"Gross domestic product, constant prices",4.89,9.06,6.57,4.42,8.52,8.89,8.45,7.47,2.83,-0.87,-0.78,4.36,3.43,4.76,6.82,4.26,6.94,9.58,2.32,0.29,9.18,0.80,5.04,7.65,-4.67,8.07,6.95,7.58,3.09,-4.33,4.49,4.79
World Economic Outlook,Annual percent change,W925NGDP_R%,TURKMENISTAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4.70,-5.30,-10.00,-17.30,-7.20,-6.70,-11.30,5.00,16.00,18.90,2.20
World Economic Outlook,Annual percent change,W746NGDP_R%,UGANDA,"Gross domestic product, constant prices",1.51,2.93,0.67,-0.61,0.17,-2.02,0.73,1.57,5.06,-7.59,-3.39,3.86,8.20,4.90,-3.00,-3.00,0.95,4.00,8.29,6.40,6.50,0.99,3.08,8.38,5.40,10.62,7.78,4.54,5.40,7.83,7.00,7.00
World Economic Outlook,Annual percent change,W926NGDP_R%,UKRAINE,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-10.62,-17.00,-14.20,-22.90,-12.24,-9.98,-3.04,-1.71,-0.35,0.52,3.03
World Economic Outlook,Annual percent change,W466NGDP_R%,UNITED ARAB EMIRATES,"Gross domestic product, constant prices",14.50,14.50,14.50,14.50,14.50,6.23,15.04,17.44,-4.38,3.61,-1.79,7.88,-7.06,-5.35,4.46,-2.47,-19.41,5.52,-2.57,13.32,17.53,0.21,3.81,5.08,8.39,8.10,10.40,3.92,-7.06,8.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W112NGDP_R%,UNITED KINGDOM,"Gross domestic product, constant prices",2.28,1.99,3.50,7.36,-1.70,-0.70,2.80,2.35,3.40,2.76,-2.20,-1.28,1.80,3.74,2.42,3.81,4.22,4.44,5.18,2.14,0.64,-1.49,0.05,2.32,4.39,2.79,2.56,3.51,2.16,2.02,3.02,2.00
World Economic Outlook,Annual percent change,W111NGDP_R%,UNITED STATES,"Gross domestic product, constant prices",0.19,3.34,5.43,5.77,-0.59,-0.36,5.56,4.64,5.52,3.18,-0.23,2.45,-2.02,4.33,7.26,3.85,3.42,3.40,4.17,3.51,1.76,-0.47,3.05,2.65,4.04,2.67,3.57,4.25,4.31,4.15,4.38,2.98
World Economic Outlook,Annual percent change,W298NGDP_R%,URUGUAY,"Gross domestic product, constant prices",4.81,1.69,-1.55,0.36,3.14,5.86,3.98,1.17,5.28,6.17,5.97,2.01,-9.58,-5.61,-1.09,1.48,8.86,7.93,-0.01,1.29,0.88,3.22,7.88,3.00,6.34,-1.75,5.28,5.06,4.49,-2.50,2.00,4.00
World Economic Outlook,Annual percent change,W927NGDP_R%,UZBEKISTAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-0.50,-11.10,-2.30,-4.20,-0.90,1.60,2.43,4.41,4.10,3.00,2.00
World Economic Outlook,Annual percent change,W846NGDP_R%,VANUATU,"Gross domestic product, constant prices",10.15,4.34,2.11,6.83,3.43,6.06,1.25,6.53,8.68,3.22,5.45,1.00,1.98,3.01,6.86,1.11,-2.02,0.42,0.57,4.06,11.57,4.33,-0.72,4.45,1.28,3.76,3.46,2.73,2.10,2.72,n.a.,n.a.
World Economic Outlook,Annual percent change,W299NGDP_R%,VENEZUELA,"Gross domestic product, constant prices",8.76,3.02,2.73,6.25,6.06,6.08,8.77,6.72,2.08,1.32,-1.90,-0.41,0.71,-5.51,1.16,0.19,6.51,3.57,5.84,-8.59,6.48,9.74,6.05,0.28,-2.37,3.97,-0.20,6.37,-0.11,-7.17,3.24,3.08
World Economic Outlook,Annual percent change,W582NGDP_R%,VIETNAM,"Gross domestic product, constant prices",7.82,3.80,1.96,-1.42,2.48,2.99,11.00,13.56,1.77,6.72,-3.50,5.80,8.15,7.09,8.40,5.62,3.36,2.55,5.10,7.80,4.90,6.01,8.65,8.07,8.84,9.54,9.34,8.15,3.50,3.50,4.50,5.50
World Economic Outlook,Annual percent change,W474NGDP_R%,"YEMEN, REPUBLIC OF","Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.30,4.90,2.90,-0.50,8.58,5.64,5.19,2.50,3.30,n.a.,n.a.
World Economic Outlook,Annual percent change,W754NGDP_R%,ZAMBIA,"Gross domestic product, constant prices",-13.69,0.06,9.84,-0.96,6.74,-2.43,4.31,-4.34,0.57,-3.04,3.85,6.63,-2.91,-1.14,-1.72,1.24,1.70,1.49,9.27,-3.66,-0.48,-0.74,2.04,-0.09,-13.25,-2.31,6.48,3.48,-1.96,1.05,n.a.,n.a.
World Economic Outlook,Annual percent change,W698NGDP_R%,ZIMBABWE,"Gross domestic product, constant prices",5.88,12.04,9.71,-7.53,17.31,-2.80,-0.79,-5.69,-2.15,3.80,10.68,12.53,2.63,1.59,-1.91,6.94,2.10,1.15,7.55,5.22,6.98,5.53,-9.03,1.33,6.86,-0.56,8.66,3.75,2.47,0.49,n.a.,n.a.
